penalty_factor,rgn_id,year
0.117647059,41,2014
0.117647059,42,2014
0.058823529,39,2014
0.058823529,40,2014
0.058823529,37,2014
0.058823529,38,2014
0.058823529,35,2014
0.058823529,36,2014
0.058823529,32,2014
0.058823529,33,2014
0.058823529,34,2014
0.058823529,27,2014
0.058823529,28,2014
0.117647059,29,2014
0.117647059,30,2014
0.117647059,31,2014
0.117647059,26,2014
0.117647059,20,2014
0.117647059,21,2014
0.117647059,22,2014
0.117647059,23,2014
0.117647059,24,2014
0.117647059,25,2014
0.117647059,14,2014
0.117647059,15,2014
0.117647059,16,2014
0.117647059,17,2014
0.117647059,11,2014
0.117647059,12,2014
0.117647059,13,2014
0.058823529,18,2014
0.058823529,19,2014
0.117647059,9,2014
0.117647059,10,2014
0.117647059,7,2014
0.117647059,8,2014
0.117647059,3,2014
0.117647059,4,2014
0.117647059,5,2014
0.117647059,6,2014
0.176470588,1,2014
0.176470588,2,2014
